📝 Logging started: mobilenet_v2_pdt_20260218_060318.log
✅ CIFAR-100 Data loaded: Train(50000), Val/Test(10000)
Experimental Mode: N/A
Target Model: mobilenet_v2 | Dataset: cifar100

[Stage 1] Analyzing MobileNet InvertedResidual Topology for mobilenetv2...
[*] MobileNet: 17 inverted residual groups found.

==================== Final Topology Groups ====================
 Group  1 | Channels:   32 | Layers: features.1.conv.0.0 ... (2 layers)
 Group  2 | Channels:   96 | Layers: features.2.conv.0.0 ... (3 layers)
 Group  3 | Channels:  144 | Layers: features.3.conv.0.0 ... (3 layers)
 Group  4 | Channels:  144 | Layers: features.4.conv.0.0 ... (3 layers)
 Group  5 | Channels:  192 | Layers: features.5.conv.0.0 ... (3 layers)
 Group  6 | Channels:  192 | Layers: features.6.conv.0.0 ... (3 layers)
 Group  7 | Channels:  192 | Layers: features.7.conv.0.0 ... (3 layers)
 Group  8 | Channels:  384 | Layers: features.8.conv.0.0 ... (3 layers)
 Group  9 | Channels:  384 | Layers: features.9.conv.0.0 ... (3 layers)
 Group 10 | Channels:  384 | Layers: features.10.conv.0.0 ... (3 layers)
 Group 11 | Channels:  384 | Layers: features.11.conv.0.0 ... (3 layers)
 Group 12 | Channels:  576 | Layers: features.12.conv.0.0 ... (3 layers)
 Group 13 | Channels:  576 | Layers: features.13.conv.0.0 ... (3 layers)
 Group 14 | Channels:  576 | Layers: features.14.conv.0.0 ... (3 layers)
 Group 15 | Channels:  960 | Layers: features.15.conv.0.0 ... (3 layers)
 Group 16 | Channels:  960 | Layers: features.16.conv.0.0 ... (3 layers)
 Group 17 | Channels:  960 | Layers: features.17.conv.0.0 ... (3 layers)
===============================================================
[*] Total 17 groups identified.


[Pruner Init] Identified 17 groups for pruning.
[*] Applied Min Survival Guarantee: 10.0%
[System] Initializing PDTPruner (Stable Version)

>>> Strategy: PDT | Total Epochs: 300
>>> Pruning starts at Epoch 100, every 15 epochs.
Epoch 46/300 | Loss: 1.8365 | Val Acc: 43.80% | Peak VRAM: 137.97 MB
Epoch 47/300 | Loss: 1.8196 | Val Acc: 44.81% | Peak VRAM: 137.97 MB
Epoch 48/300 | Loss: 1.7828 | Val Acc: 44.95% | Peak VRAM: 137.97 MB
Epoch 49/300 | Loss: 1.7697 | Val Acc: 44.66% | Peak VRAM: 137.97 MB
Epoch 50/300 | Loss: 1.7493 | Val Acc: 44.78% | Peak VRAM: 137.97 MB
Epoch 51/300 | Loss: 1.7243 | Val Acc: 44.08% | Peak VRAM: 137.97 MB
Epoch 52/300 | Loss: 1.7102 | Val Acc: 44.13% | Peak VRAM: 137.97 MB
Epoch 53/300 | Loss: 1.6932 | Val Acc: 45.32% | Peak VRAM: 137.97 MB
Epoch 54/300 | Loss: 1.6673 | Val Acc: 45.84% | Peak VRAM: 137.97 MB
Epoch 55/300 | Loss: 1.6520 | Val Acc: 46.29% | Peak VRAM: 137.97 MB
Epoch 56/300 | Loss: 1.6330 | Val Acc: 45.56% | Peak VRAM: 137.97 MB
Epoch 57/300 | Loss: 1.6210 | Val Acc: 45.29% | Peak VRAM: 137.97 MB
Epoch 58/300 | Loss: 1.5974 | Val Acc: 45.82% | Peak VRAM: 137.97 MB
Epoch 59/300 | Loss: 1.5751 | Val Acc: 46.71% | Peak VRAM: 137.97 MB
Epoch 60/300 | Loss: 1.5580 | Val Acc: 46.47% | Peak VRAM: 137.97 MB
Epoch 61/300 | Loss: 1.5425 | Val Acc: 47.25% | Peak VRAM: 137.97 MB
Epoch 62/300 | Loss: 1.5327 | Val Acc: 46.52% | Peak VRAM: 137.97 MB
Epoch 63/300 | Loss: 1.5036 | Val Acc: 46.76% | Peak VRAM: 137.97 MB
Epoch 64/300 | Loss: 1.5012 | Val Acc: 46.84% | Peak VRAM: 137.97 MB
Epoch 65/300 | Loss: 1.4741 | Val Acc: 46.41% | Peak VRAM: 137.97 MB
Epoch 66/300 | Loss: 1.4613 | Val Acc: 47.54% | Peak VRAM: 137.97 MB
Epoch 67/300 | Loss: 1.4429 | Val Acc: 47.05% | Peak VRAM: 137.97 MB
Epoch 68/300 | Loss: 1.4320 | Val Acc: 47.41% | Peak VRAM: 137.97 MB
Epoch 69/300 | Loss: 1.4135 | Val Acc: 47.71% | Peak VRAM: 137.97 MB
Epoch 70/300 | Loss: 1.4013 | Val Acc: 47.45% | Peak VRAM: 137.97 MB
Epoch 71/300 | Loss: 1.3779 | Val Acc: 47.91% | Peak VRAM: 137.97 MB
Epoch 72/300 | Loss: 1.3594 | Val Acc: 48.24% | Peak VRAM: 137.97 MB
Epoch 73/300 | Loss: 1.3567 | Val Acc: 48.16% | Peak VRAM: 137.97 MB
Epoch 74/300 | Loss: 1.3396 | Val Acc: 47.78% | Peak VRAM: 137.97 MB
Epoch 75/300 | Loss: 1.3245 | Val Acc: 47.19% | Peak VRAM: 137.97 MB
Epoch 76/300 | Loss: 1.3103 | Val Acc: 47.88% | Peak VRAM: 137.97 MB
Epoch 77/300 | Loss: 1.2869 | Val Acc: 47.87% | Peak VRAM: 137.97 MB
Epoch 78/300 | Loss: 1.2708 | Val Acc: 48.29% | Peak VRAM: 137.97 MB
Epoch 79/300 | Loss: 1.2645 | Val Acc: 48.30% | Peak VRAM: 137.97 MB
Epoch 80/300 | Loss: 1.2444 | Val Acc: 47.81% | Peak VRAM: 137.97 MB
Epoch 81/300 | Loss: 1.2373 | Val Acc: 48.53% | Peak VRAM: 137.97 MB
Epoch 82/300 | Loss: 1.2193 | Val Acc: 48.43% | Peak VRAM: 137.97 MB
Epoch 83/300 | Loss: 1.2157 | Val Acc: 48.29% | Peak VRAM: 137.97 MB
Epoch 84/300 | Loss: 1.2028 | Val Acc: 47.78% | Peak VRAM: 137.97 MB
Epoch 85/300 | Loss: 1.1940 | Val Acc: 48.54% | Peak VRAM: 137.97 MB
Epoch 86/300 | Loss: 1.1860 | Val Acc: 48.88% | Peak VRAM: 137.97 MB
Epoch 87/300 | Loss: 1.1601 | Val Acc: 48.52% | Peak VRAM: 137.97 MB
Epoch 88/300 | Loss: 1.1498 | Val Acc: 49.34% | Peak VRAM: 137.97 MB
Epoch 89/300 | Loss: 1.1388 | Val Acc: 48.59% | Peak VRAM: 137.97 MB
Epoch 90/300 | Loss: 1.1222 | Val Acc: 48.65% | Peak VRAM: 137.97 MB
Epoch 91/300 | Loss: 1.1203 | Val Acc: 48.01% | Peak VRAM: 137.97 MB
Epoch 92/300 | Loss: 1.1102 | Val Acc: 48.69% | Peak VRAM: 137.97 MB
Epoch 93/300 | Loss: 1.0953 | Val Acc: 49.07% | Peak VRAM: 137.97 MB
Epoch 94/300 | Loss: 1.0848 | Val Acc: 48.26% | Peak VRAM: 137.97 MB
Epoch 95/300 | Loss: 1.0696 | Val Acc: 48.85% | Peak VRAM: 137.97 MB
Epoch 96/300 | Loss: 1.0652 | Val Acc: 49.26% | Peak VRAM: 137.97 MB
Epoch 97/300 | Loss: 1.0515 | Val Acc: 48.92% | Peak VRAM: 137.97 MB
Epoch 98/300 | Loss: 1.0328 | Val Acc: 48.96% | Peak VRAM: 137.97 MB
Epoch 99/300 | Loss: 1.0258 | Val Acc: 48.82% | Peak VRAM: 137.97 MB

[DEBUG] >>> PRUNING @ Epoch 100

[DEBUG] !!! PRUNING TRIGGERED !!! Epoch 100/300

============================== PDT Pruning Report: Epoch 100 ==============================
 [*] Pruned this step: 1274 units | VRAM: 151.4MB -> 151.4MB
 Group  1 |   32/  32 |     0.0% | Hessian: 0.092025
 Group  2 |   96/  96 |     0.0% | Hessian: 0.130899
 Group  3 |  144/ 144 |     0.0% | Hessian: 0.105355
 Group  4 |  144/ 144 |     0.0% | Hessian: 0.161347
 Group  5 |  192/ 192 |     0.0% | Hessian: 0.218244
 Group  6 |  192/ 192 |     0.0% | Hessian: 0.246406
 Group  7 |  192/ 192 |     0.0% | Hessian: 0.148192
 Group  8 |  384/ 384 |     0.0% | Hessian: 0.198826
 Group  9 |  384/ 384 |     0.0% | Hessian: 0.199941
 Group 10 |  384/ 384 |     0.0% | Hessian: 0.172776
 Group 11 |  384/ 384 |     0.0% | Hessian: 0.153861
 Group 12 |  575/ 576 |     0.2% | Hessian: 0.160289
 Group 13 |  576/ 576 |     0.0% | Hessian: 0.116931
 Group 14 |  575/ 576 |     0.2% | Hessian: 0.105876
 Group 15 |  797/ 960 |    17.0% | Hessian: 0.089194
 Group 16 |  667/ 960 |    30.5% | Hessian: 0.065652
 Group 17 |  786/ 960 |    18.1% | Hessian: 0.083868

[Scientific Metrics] 🟢 Size: 8.40MB | 🔵 Sparsity: 5.02% | 🟡 Speedup: 1.05x
=========================================================================================


[Scientific Metrics - Epoch 100]
 🟢 Model Size: 8.84 MB -> 8.40 MB
 🔵 Sparsity: 7.43 %
 🟡 Speedup: 1.05x
💾 Checkpoint saved: mobilenet_v2_pdt_ep100_sp7.43.pth
Epoch 100/300 | Loss: 1.1245 | Val Acc: 48.45% | Peak VRAM: 407.18 MB
Epoch 101/300 | Loss: 1.0918 | Val Acc: 49.28% | Peak VRAM: 137.97 MB
Epoch 102/300 | Loss: 1.0804 | Val Acc: 48.70% | Peak VRAM: 137.97 MB
Epoch 103/300 | Loss: 1.0750 | Val Acc: 48.41% | Peak VRAM: 137.97 MB
Epoch 104/300 | Loss: 1.0588 | Val Acc: 48.61% | Peak VRAM: 137.97 MB
Epoch 105/300 | Loss: 1.0457 | Val Acc: 49.48% | Peak VRAM: 137.97 MB
Epoch 106/300 | Loss: 1.0333 | Val Acc: 48.65% | Peak VRAM: 137.97 MB
Epoch 107/300 | Loss: 1.0243 | Val Acc: 49.35% | Peak VRAM: 137.97 MB
Epoch 108/300 | Loss: 1.0076 | Val Acc: 49.80% | Peak VRAM: 137.97 MB
Epoch 109/300 | Loss: 1.0014 | Val Acc: 48.95% | Peak VRAM: 137.97 MB
Epoch 110/300 | Loss: 0.9978 | Val Acc: 49.15% | Peak VRAM: 137.97 MB
Epoch 111/300 | Loss: 0.9840 | Val Acc: 49.07% | Peak VRAM: 137.97 MB
Epoch 112/300 | Loss: 0.9831 | Val Acc: 48.27% | Peak VRAM: 137.97 MB
Epoch 113/300 | Loss: 0.9685 | Val Acc: 49.00% | Peak VRAM: 137.97 MB
Epoch 114/300 | Loss: 0.9608 | Val Acc: 49.14% | Peak VRAM: 137.97 MB

[DEBUG] >>> PRUNING @ Epoch 115

[DEBUG] !!! PRUNING TRIGGERED !!! Epoch 115/300

============================== PDT Pruning Report: Epoch 115 ==============================
 [*] Pruned this step: 861 units | VRAM: 151.4MB -> 151.4MB
 Group  1 |   31/  32 |     3.1% | Hessian: 0.102910
 Group  2 |   95/  96 |     1.0% | Hessian: 0.289955
 Group  3 |  144/ 144 |     0.0% | Hessian: 0.282301
 Group  4 |  144/ 144 |     0.0% | Hessian: 0.216706
 Group  5 |  192/ 192 |     0.0% | Hessian: 0.254158
 Group  6 |  192/ 192 |     0.0% | Hessian: 0.210844
 Group  7 |  191/ 192 |     0.5% | Hessian: 0.211659
 Group  8 |  384/ 384 |     0.0% | Hessian: 0.124896
 Group  9 |  384/ 384 |     0.0% | Hessian: 0.131103
 Group 10 |  384/ 384 |     0.0% | Hessian: 0.122974
 Group 11 |  384/ 384 |     0.0% | Hessian: 0.123009
 Group 12 |  575/ 576 |     0.2% | Hessian: 0.150301
 Group 13 |  576/ 576 |     0.0% | Hessian: 0.167312
 Group 14 |  575/ 576 |     0.2% | Hessian: 0.050075
 Group 15 |  708/ 960 |    26.2% | Hessian: 0.057967
 Group 16 |  515/ 960 |    46.4% | Hessian: 0.038649
 Group 17 |  678/ 960 |    29.4% | Hessian: 0.051462

[Scientific Metrics] 🟢 Size: 7.59MB | 🔵 Sparsity: 14.11% | 🟡 Speedup: 1.16x
=========================================================================================


[Scientific Metrics - Epoch 115]
 🟢 Model Size: 8.84 MB -> 7.59 MB
 🔵 Sparsity: 12.44 %
 🟡 Speedup: 1.16x
💾 Checkpoint saved: mobilenet_v2_pdt_ep115_sp12.44.pth
Epoch 115/300 | Loss: 1.1618 | Val Acc: 48.86% | Peak VRAM: 407.18 MB
Epoch 116/300 | Loss: 1.0943 | Val Acc: 49.01% | Peak VRAM: 137.97 MB
Epoch 117/300 | Loss: 1.0738 | Val Acc: 49.20% | Peak VRAM: 137.97 MB
Epoch 118/300 | Loss: 1.0581 | Val Acc: 48.87% | Peak VRAM: 137.97 MB
Epoch 119/300 | Loss: 1.0271 | Val Acc: 49.08% | Peak VRAM: 137.97 MB
Epoch 120/300 | Loss: 1.0190 | Val Acc: 50.04% | Peak VRAM: 137.97 MB
Epoch 121/300 | Loss: 1.0090 | Val Acc: 49.11% | Peak VRAM: 137.97 MB
Epoch 122/300 | Loss: 1.0057 | Val Acc: 50.02% | Peak VRAM: 137.97 MB
Epoch 123/300 | Loss: 0.9808 | Val Acc: 50.50% | Peak VRAM: 137.97 MB
Epoch 124/300 | Loss: 0.9717 | Val Acc: 49.46% | Peak VRAM: 137.97 MB
Epoch 125/300 | Loss: 0.9612 | Val Acc: 49.48% | Peak VRAM: 137.97 MB
Epoch 126/300 | Loss: 0.9527 | Val Acc: 49.58% | Peak VRAM: 137.97 MB
Epoch 127/300 | Loss: 0.9448 | Val Acc: 49.57% | Peak VRAM: 137.97 MB
Epoch 128/300 | Loss: 0.9354 | Val Acc: 49.17% | Peak VRAM: 137.97 MB
Epoch 129/300 | Loss: 0.9299 | Val Acc: 49.82% | Peak VRAM: 137.97 MB

[DEBUG] >>> PRUNING @ Epoch 130

[DEBUG] !!! PRUNING TRIGGERED !!! Epoch 130/300

============================== PDT Pruning Report: Epoch 130 ==============================
 [*] Pruned this step: 473 units | VRAM: 151.4MB -> 151.4MB
 Group  1 |   31/  32 |     3.1% | Hessian: 0.038034
 Group  2 |   95/  96 |     1.0% | Hessian: 0.146625
 Group  3 |  144/ 144 |     0.0% | Hessian: 0.210220
 Group  4 |  144/ 144 |     0.0% | Hessian: 0.167684
 Group  5 |  192/ 192 |     0.0% | Hessian: 0.117424
 Group  6 |  192/ 192 |     0.0% | Hessian: 0.130811
 Group  7 |  191/ 192 |     0.5% | Hessian: 0.133435
 Group  8 |  384/ 384 |     0.0% | Hessian: 0.096087
 Group  9 |  384/ 384 |     0.0% | Hessian: 0.080624
 Group 10 |  384/ 384 |     0.0% | Hessian: 0.174831
 Group 11 |  384/ 384 |     0.0% | Hessian: 0.109512
 Group 12 |  575/ 576 |     0.2% | Hessian: 0.124823
 Group 13 |  576/ 576 |     0.0% | Hessian: 0.081712
 Group 14 |  575/ 576 |     0.2% | Hessian: 0.049597
 Group 15 |  618/ 960 |    35.6% | Hessian: 0.029144
 Group 16 |  411/ 960 |    57.2% | Hessian: 0.024203
 Group 17 |  663/ 960 |    30.9% | Hessian: 0.061620

[Scientific Metrics] 🟢 Size: 7.26MB | 🔵 Sparsity: 17.91% | 🟡 Speedup: 1.22x
=========================================================================================


[Scientific Metrics - Epoch 130]
